date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_2pCal
2021-01-19T10:09:00Z,39972.3,29.04,CT_324,106.904,29.053,0.524,WL_877,1.06904,12.4551984576,138.04,43741.11074682161,46324.649745458126,30.05146173069967
2021-01-19T10:10:00Z,39964.5,29.04,CT_324,107.034,29.152,0.537,WL_877,1.07034,12.4551984576,138.04,43732.57531944251,46315.60660289463,30.04490640468569
2021-01-19T10:11:00Z,39948.9,29.05,CT_324,107.359,29.152,0.569,WL_877,1.07359,12.46905199,138.05,43724.94883795666,46307.526473304,30.039048760294218
2021-01-19T10:12:00Z,39980.1,29.05,CT_324,107.015,29.152,0.535,WL_877,1.07015,12.46905199,138.05,43759.097923507055,46343.70685834268,30.0652757495682
2021-01-19T10:13:00Z,39929.3,29.05,CT_324,106.925,29.152,0.526,WL_877,1.06925,12.46905199,138.05,43703.49620729039,46284.797769882265,30.02257634845344
2021-01-19T10:14:00Z,39960.6,29.03,CT_324,107.124,29.152,0.546,WL_877,1.07124,12.441345092400002,138.03,43718.86126053416,46301.0767868322,30.034374586797217
2021-01-19T10:15:00Z,39921.5,29.01,CT_324,107.214,29.152,0.555,WL_877,1.07214,12.413638863600003,138.01,43657.212113617294,46235.760546680845,29.98703820243283
2021-01-19T10:16:00Z,39964.5,29.01,CT_324,106.546,29.152,0.488,WL_877,1.06546,12.413638863600003,138.01,43704.23590082182,46285.58146280834,30.02314539173274
2021-01-19T10:17:00Z,39988,29.01,CT_324,106.759,29.053,0.509,WL_877,1.06759,12.413638863600003,138.01,43729.93494731731,46312.809172785,30.042879478609603
2021-01-19T10:18:00Z,39933.2,29.02,CT_324,106.687,29.053,0.502,WL_877,1.06687,12.427491894400001,138.02,43679.445238803164,46259.316170993276,30.004109686587455
2021-01-19T10:19:00Z,39976.2,29.04,CT_324,106.781,29.152,0.511,WL_877,1.0678100000000001,12.4551984576,138.04,43745.37846051115,46329.17131673987,30.054739633169532
2021-01-19T10:20:00Z,39933.2,29.07,CT_324,107.052,29.152,0.538,WL_877,1.0705200000000001,12.496759556400002,138.07,43726.64854639344,46309.327285967214,30.040354884863262
2021-01-19T10:21:00Z,39952.8,29.1,CT_324,107.052,29.152,0.538,WL_877,1.0705200000000001,12.538322160000003,138.1,43776.45585533714,46362.097296826345,30.078607589755567
2021-01-19T10:22:00Z,39956.7,29.12,CT_324,107.16,29.152,0.549,WL_877,1.0715999999999999,12.566031398400002,138.12,43799.631853918625,46386.651879733014,30.09640921138526
2021-01-19T10:23:00Z,39995.8,29.15,CT_324,106.745,29.152,0.508,WL_877,1.06745,12.607596509999999,138.15,43870.88021906695,46462.13833106534,30.151147251716804
2021-01-19T10:24:00Z,40007.5,29.14,CT_324,107.232,29.152,0.556,WL_877,1.07232,12.593741305600002,138.14,43874.24762739179,46465.70604386969,30.153733285770596
2021-01-19T10:25:00Z,39988,29.12,CT_324,106.799,29.152,0.513,WL_877,1.06799,12.566031398400002,138.12,43833.942206801315,46423.003124813265,30.122767479461917
2021-01-19T10:26:00Z,39988,29.09,CT_324,106.618,29.152,0.495,WL_877,1.06618,12.524467791600001,138.09,43805.56705909855,46392.94013036205,30.10096990771854
2021-01-19T10:27:00Z,39988,29.08,CT_324,106.709,29.152,0.504,WL_877,1.06709,12.510613590399998,138.07999999999998,43796.11026466193,46382.92081480985,30.09370536472517
2021-01-19T10:28:00Z,39956.7,29.07,CT_324,106.582,29.152,0.492,WL_877,1.06582,12.496759556400002,138.07,43752.38092548753,46336.59031127463,30.060118121657982
2021-01-19T10:29:00Z,39925.4,29.05,CT_324,106.654,29.152,0.499,WL_877,1.06654,12.46905199,138.05,43699.22757159659,46280.275221752425,30.01929934387767
2021-01-19T10:30:00Z,39960.6,29.07,CT_324,106.889,29.152,0.522,WL_877,1.06889,12.496759556400002,138.07,43756.6514054223,46341.11481334693,30.06339709465346
2021-01-19T10:31:00Z,39972.3,29.08,CT_324,106.709,29.152,0.504,WL_877,1.06709,12.510613590399998,138.07999999999998,43778.91513284351,46364.70286021591,30.080497485676457
2021-01-19T10:32:00Z,39929.3,29.07,CT_324,107.07,29.152,0.54,WL_877,1.0707,12.496759556400002,138.07,43722.37806645868,46304.80278389492,30.03707537926578
2021-01-19T10:33:00Z,39960.6,29.08,CT_324,106.817,29.152,0.515,WL_877,1.06817,12.510613590399998,138.07999999999998,43766.10092632914,46351.12642271598,30.070654924803126
2021-01-19T10:34:00Z,39960.6,29.1,CT_324,106.528,29.152,0.486,WL_877,1.06528,12.538322160000003,138.1,43785.00234909155,46371.152164029416,30.08517358715387
2021-01-19T10:35:00Z,39972.3,29.13,CT_324,106.781,29.152,0.511,WL_877,1.0678100000000001,12.5798862684,138.13,43826.18847771487,46414.788178517876,30.11681080675176
2021-01-19T10:36:00Z,39984,29.14,CT_324,107.341,29.152,0.567,WL_877,1.07341,12.593741305600002,138.14,43848.476339027264,46438.40179484096,30.133932136615307
2021-01-19T10:37:00Z,40027.1,29.16,CT_324,106.82,29.252,0.515,WL_877,1.0682,12.6214518816,138.16,43914.68439130629,46508.54811898137,30.184807048249574
2021-01-19T10:38:00Z,39991.9,29.16,CT_324,107.182,29.252,0.551,WL_877,1.07182,12.6214518816,138.16,43876.065633250524,46467.63219067308,30.155130324832356
2021-01-19T10:39:00Z,40035,29.19,CT_324,107.037,29.252,0.537,WL_877,1.07037,12.663018999600002,138.19,43951.77685411197,46547.84696299762,30.21331335005774
2021-01-19T10:40:00Z,40046.7,29.2,CT_324,107.272,29.252,0.56,WL_877,1.0727200000000001,12.67687504,138.2,43974.10092916688,46571.49894717527,30.23047146462919
2021-01-19T10:41:00Z,40031,29.23,CT_324,106.658,29.252,0.499,WL_877,1.06658,12.718444164400001,138.23,43985.293094270426,46583.356858927116,30.23907625703286
2021-01-19T10:42:00Z,39995.8,29.23,CT_324,106.802,29.252,0.514,WL_877,1.0680200000000002,12.718444164400001,138.23,43946.61601108694,46542.379136121424,30.20934747236764
2021-01-19T10:43:00Z,40046.7,29.25,CT_324,106.968,29.352,0.53,WL_877,1.06968,12.74615775,138.25,44021.5099377776,46621.72799894027,30.266916658619255
2021-01-19T10:44:00Z,40038.9,29.25,CT_324,106.806,29.352,0.514,WL_877,1.06806,12.74615775,138.25,44012.93575369965,46612.64379430249,30.26032546837483
2021-01-19T10:45:00Z,40023.2,29.26,CT_324,107.077,29.352,0.541,WL_877,1.07077,12.760014793600003,138.26,44005.15607801869,46604.40135802414,30.254344053381374
2021-01-19T10:46:00Z,40023.2,29.24,CT_324,106.679,29.352,0.501,WL_877,1.0667900000000001,12.732300873599998,138.24,43986.199635484154,46584.31732418226,30.2397730452279
2021-01-19T10:47:00Z,40007.5,29.21,CT_324,106.842,29.352,0.518,WL_877,1.06842,12.690731247600002,138.21,43940.52749841165,46535.92845876493,30.204667936571763
2021-01-19T10:48:00Z,39980.1,29.18,CT_324,106.766,29.252,0.51,WL_877,1.06766,12.6491631264,138.18,43882.0429160121,46473.965021796175,30.159724309898472
2021-01-19T10:49:00Z,39995.8,29.16,CT_324,107.055,29.252,0.539,WL_877,1.0705500000000001,12.6214518816,138.16,43880.3444161033,46472.16548954815,30.15841840124835
2021-01-19T10:50:00Z,39995.8,29.16,CT_324,106.784,29.252,0.512,WL_877,1.0678400000000001,12.6214518816,138.16,43880.3444161033,46472.16548954815,30.158419155003102
2021-01-19T10:51:00Z,40007.5,29.2,CT_324,106.784,29.252,0.512,WL_877,1.0678400000000001,12.67687504,138.2,43931.05656455199,46525.89416273048,30.197389271310612
2021-01-19T10:52:00Z,39999.7,29.24,CT_324,106.55,29.252,0.488,WL_877,1.0655,12.732300873599998,138.24,43960.37272280766,46556.95414212524,30.21992150912589
